job_title,company,experience_years,salary_min,remote_friendly,python_skill,django_skill,aws_skill
"Product Manager, Oncology",Saphetor,3.0,100000,1,0,0,0
Senior Full Stack Developer (React/Django),Global BrainForce,7.0,100000,1,1,1,0
Sr. Site Reliability Engineer (SRE),ZORA,5.0,170000,1,1,0,0
Senior Data Engineer,GR8 Tech,5.0,100000,1,1,0,1
Backend API,Mobiik,18.0,100000,1,0,0,0
Head of Demand & Commercial Growth,Filecoin Foundation,12.0,100000,1,0,0,0
Lease Accounting Implementation Specialist,Arvexi,3.0,100000,1,0,0,0
Executive Assistant / Corporate Administrator,Canonical,5.0,200000,1,1,0,0
RCM - Team Lead,Keplr Vision,5.0,100000,1,0,0,0
Graphic Designer - 3D Animation (Job Req #2026-093),Ross Video,2.0,100000,1,0,0,0
API Integration Solutions Manager,OEC,5.0,100000,1,0,0,1
Software Engineer (Mainframe),UniGroup,3.0,100000,1,0,0,0
AI Tutor - Software Engineer Specialist,x.ai,3.0,100000,1,1,0,1
Account Executive (Sales Manager),TechBiz Global,5.0,100000,1,0,0,0
Talent Sourcer,TechBiz Global,1.0,100000,1,0,0,0
Senior Build/Release/CI Engineer,Brave,20.0,100000,1,1,0,1
Data Analyst II Healthcare Analytics,Centene Corporation,2.0,56200,1,1,0,0
Human Resources - Labor Compliance Specialist,Franklin Energy,5.0,100000,1,0,0,1
"Data Analyst (SQL, Python, Streamlit) 4-MO Contract",Outrider,3.0,100000,1,1,0,0
Technical Project Manager (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,1,0,0
Electronics & PCB Design Experts,G2i,3.0,100000,1,0,0,0
Lead Instructor: Software Development,Correlation One,5.0,100000,1,1,1,1
Graphic Design Expert (SME) - Freelance Project,Invisible Technologies,5.0,100000,1,0,0,0
Senior Product Designer,Automattic,5.0,95000,1,1,0,0
"Manager, Order Monitoring & Management",Comcast,5.0,61303,1,1,0,1
Senior Solutions Architect,Judi Health,7.0,125000,1,0,0,1
Sales Executive,North American Bancard,3.0,60000,1,0,0,0
Head of Content,Gnosis,,200000,1,0,0,0
"Manager, Customer Success APAC",SecurityScorecard,5.0,25000,1,1,0,0
"Coding Denial and Resolution Specialist (FT- 1.0 FTE, Day Shift, Remote)",Workday,3.0,100000,1,0,0,0
Mortgage Underwriter III,Fifth Third Bank,5.0,71100,1,0,0,1
"Senior Sales Specialist, Emerging Technologies - Construction Ops",Autodesk,10.0,100000,1,1,1,0
Conversion and Retention Agents,TechBiz Global,2.0,100000,1,0,0,0
AWS Solutions Architect,Revolgy,8.0,100000,1,0,0,1
Filterlist  Engineer,Brave,3.0,100000,1,1,0,0
Telehealth Therapist: Associate Clinical Social Worker (ACSW),Mood Health,1.0,100000,1,0,0,0
Testing Manager,Horizon Industries,5.0,100000,1,0,0,0
V101- Bilingual Immigration Administrative Assistant,Job Duck,1.0,100000,1,0,0,0
"Senior Director, Clinical Research Business Development",Panoramic Health,10.0,100000,1,0,0,1
AI Agent Engineer,Upstage,5.0,100000,1,1,0,0
Lead AI Inference Engineer QVAC (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
Client Partner,Provectus,3.0,100000,1,0,0,1
Junior iOS Developers,Appetiser Apps,5.0,100000,1,0,0,0
"Project Manager, AWS",Revolgy,5.0,100000,1,0,0,1
Technical Product Owner - Hadron (100% Remote - Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
Content Marketing Manager (Remote 100% Worldwide),Bitfinex,3.0,100000,1,0,0,1
Virtual - Outbound Business Sales Representative,Comcast,2.0,182000,1,1,0,1
Head of Payment Product,GR8 Tech,5.0,100000,1,0,0,0
Associate/ Middle Business Development Manager – AI / Cloud Solutions,Provectus,5.0,100000,1,0,0,1
Senior ServiceNow SPM Developer,Apex Talent Solutions,5.0,100000,1,0,0,0
Middle+ / Senior Product Manager – Internal Systems and Processes,INFUSE,4.0,100000,1,0,0,1
ROI Medical Records Specialist - Remote,Sharecare,2.0,100000,1,0,0,1
Salesforce Solution Architect,Strata Information Group,5.0,100000,1,0,0,0
Data Engineer,Growe,1.0,100000,1,1,0,1
Remote Nurse Practitioner,Cadence,5.0,125000,1,0,0,1
Scientific Research & Visualization Experts,G2i,3.0,100000,1,0,0,0
Especialista de Sistemas Corporativos,Arco Educação,5.0,100000,1,1,0,0
Senior Research Engineer - Multimodal & Video Foundation Model (100% remote Worl,Tether Operations Limited,5.0,100000,1,1,0,0
Senior Network Engineer,Ansira,7.0,100000,1,1,0,1
Broadcast Production Specialist - Creative Services (Job Req #2026-131),Ross Video,3.0,100000,1,0,0,0
"Senior Director, Clinical Product Development",Adaptive Biotechnologies,10.0,206400,1,0,0,0
"Client Success Representative (Remote, Contract)",INFUSE,3.0,100000,1,0,0,1
V105 - Bilingual Immigration Paralegal,Job Duck,2.0,100000,1,0,0,0
"HR People Operations Specialist (Fully Remote, Worldwide)",Bitfinex,5.0,100000,1,0,0,1
V105- Bilingual Legal Support Specialist,Job Duck,1.0,100000,1,0,0,0
Growth Marketing Manager – AI & Performance,FE International,5.0,100000,1,0,0,0
Senior Full Stack Engineer (.NET & Vue/React) - Fully Remote - CET Timezone,CoverGo,6.0,100000,1,0,0,1
"Manager, Software Engineering (CORE) - AXS",AXS,5.0,134400,1,0,0,1
"Director, Marketing Analytics",Remote,10.0,76500,1,1,0,0
Project Manager / Content Manager (100% Worldwide remote - 6 months contract wit,Bitfinex,5.0,100000,1,0,0,1
Backend Software Engineer - Python/Postgres [Remote / Global],Enveritas,7.0,135000,1,1,1,1
Senior Commissioning Engineer - Electronic Security,Diversified,5.0,100000,1,0,0,0
"Senior Product Manager, Payroll",Remote,5.0,54900,1,0,0,0
Digital Sales Specialist (Open for Expats and Locals),Appetiser Apps,5.0,100000,1,0,0,0
AI/ML Engineer,Arvexi,3.0,100000,1,1,0,0
V101-Legal Executive Assistant,Job Duck,3.0,100000,1,0,0,0
React Native Developer (Wallet team) (100% remote Worldwide),Tether Operations Limited,3.0,100000,1,0,0,0
"Engineering Manager, Business Operations",Misfits Market,6.0,500000,1,0,0,0
AWS Cloud Engineer,Revolgy,3.0,100000,1,0,0,1
"Senior Clinical Data Manager (remote/hybrid, full-time)",P95,6.0,100000,1,0,0,0
WordPress Support Specialist,WPMU DEV,2.0,100000,1,0,0,0
Strategic Account Manager - Edge,SBA Communications,5.0,40000,1,0,0,0
Middle Data Analyst for Sport Team,GR8 Tech,2.0,100000,1,1,0,0
"Director, Risk Adjustment",PacificSource Health Plans,5.0,108468,1,0,0,1
Senior Disaster Recovery Architect - Cyber Resiliency,Centene Corporation,6.0,22301,1,0,0,1
V105- Legal and Attorney Support Assistant,Job Duck,2.0,100000,1,0,0,0
Technical Product Owner - Hadron (100% Remote),Tether Operations Limited,5.0,100000,1,0,0,0
"Senior Product Manager – Internal Systems (Contract, Remote)",INFUSE,4.0,100000,1,0,0,1
QA Engineer (Manual Testing),CoverGo,2.0,100000,1,0,0,0
Senior Adversarial Infrastructure Engineer,RevenueBase Inc,5.0,100000,1,1,0,1
Junior Problem Manager,Vivid Money,1.0,500000,1,0,0,0
Provider Success Associate,Spring Health,2.0,100000,1,1,0,0
Senior Software Engineer,TechBiz Global,7.0,100000,1,1,0,1
Solutions Architect,TechBiz Global,5.0,100000,1,0,0,0
"Travel Advisor, Travel Contact Center",AAA,122.0,100000,1,0,0,1
Microsoft Cloud Security Engineer,New Era Technology,3.0,20000,1,1,0,0
Recruitment Team Lead,TechBiz Global,4.0,100000,1,0,0,0
Accounting Risk and Policy Sr. Manager - Regulatory Reporting,Fifth Third Bank,7.0,96500,1,0,0,1
Bilingual Client Retention Specialist,Beyond Finance,3.0,100000,1,1,0,0
Retention Team Lead,StayGroup,2.0,100000,1,0,0,1
Data Onboarding Specialist - Entry Level,SIL International,1.0,100000,1,1,0,0
Senior Scalability Engineer - Observability,Judi Health,10.0,160000,1,1,0,1
AI Tech Data Manager,Upstage,3.0,100000,1,1,0,0
"Director - Business Development, Commercialization",AmerisourceBergen,15.0,46000,1,0,0,0
Head of FP&A,Xapo,10.0,100000,1,1,0,0
Coder and Database Intern for App and Website,University of Wisconsin-Madison,1.0,100000,1,1,0,0
Contact Center - Customer Service Representative,Aline,1.0,100000,1,0,0,0
2D Games Animator - Freelancing - Fully Remote,SOFTGAMES,3.0,100000,1,1,0,0
"Manager, Predictive Analytics and Data Science",CareSource,5.0,94100,1,1,0,1
Tender Manager,Valor Software,3.0,100000,1,1,1,0
Remote Sabre Corporate Travel Agent (Day Shift),AAA,1.0,100000,1,0,0,1
Campaign Manager,saas.group,3.0,100000,1,0,0,0
Commercial  Intelligence Analyst,MedSpa Partners Inc.,4.0,100000,1,1,0,0
Bilingual Business Analyst,TechBiz Global,3.0,100000,1,0,0,0
"Vice President, Product Management",NAVEX,15.0,200000,1,0,0,0
Associate Project Manager – Revenue Operations,Welocalize,1.0,250000,1,1,0,1
Investigator III,Premera Blue Cross,3.0,80200,1,0,0,1
Registered Land Surveyor,Copper River Family of Companies,5.0,100000,1,0,0,1
"Director, Business Strategy and Operations",Blue Rose Research,8.0,165000,1,1,0,0
"Sales Associate, Travel Contact Center",AAA,122.0,100000,1,0,0,1
V101- Legal Support Executive Assistant,Job Duck,1.0,100000,1,0,0,0
Director of Marketing,DeepSeas,10.0,100000,1,1,0,0
"Engineering Team Lead, B2B Portal (all genders)",Distribusion Technologies GmbH,5.0,100000,1,1,0,1
Lead Copilot Studio AI Engineer,Centene Corporation,7.0,102900,1,0,0,0
Quality Assurance Specialist - (Automation / Contact Centre applications),BMO,6.0,61600,1,0,0,0
User Acquisition Manager (Paid Social),AppQuantum,5.0,300000,1,0,0,0
Senior Pricing Analyst,Spreetail Inc.,5.0,100000,1,1,0,0
Software Engineer - Console,Upstage,3.0,100000,1,1,0,1
Technical Product Manager QVAC - 100% remote,Tether Operations Limited,8.0,100000,1,0,0,0
Workday Integration Analyst Advisor,Welocalize,3.0,250000,1,1,0,1
Utilization Management Nurse - Aspire Health,Montage Health,3.0,134784,1,0,0,0
Epic Application Analyst- ASAP,Advocate Aurora Health,5.0,14031,1,0,0,0
Customer Experience Advisor,Aceable,2.0,28000,1,0,0,0
WordPress Sales Support Specialist,WPMU DEV,10.0,100000,1,0,0,0
"Contracts Manager, Payor",Altais Health Solutions,5.0,107250,1,0,0,1
"Manager, Pharmacy Implementation",SmithRx,5.0,100000,1,1,0,0
"Senior Director, Payment Integrity - Governance",Centene Corporation,10.0,148000,1,0,0,0
Audio Production Experts,G2i,3.0,100000,1,0,0,0
Senior Data Engineer,Federato,5.0,185000,1,1,1,1
"Senior Associate, AI Solutions & Analytics - Battery Storage",Plus Power,3.0,100000,1,1,0,0
Software Engineer - Launching Platform,Upstage,3.0,100000,1,1,0,1
"Software Engineer II, Offshore (Remote, IN)",Bentley Systems,3.0,100000,1,1,0,0
Control Room Operator,E.ON SE,1.0,100000,1,0,0,0
Marketing Campaign Coordinator (Junior Specialist),INFUSE,1.0,100000,1,0,0,1
Learner Services Advisor,Ultimate Medical Academy,18.0,90000,1,0,0,1
Junior Android Developers,Appetiser Apps,5.0,100000,1,0,0,0
Senior Backend Engineer (Golang),mx51,5.0,100000,1,0,0,1
Automation Developer,alx_africa,6.0,205000,1,1,0,0
Solutions Architect,Pallet,5.0,150000,1,0,0,0
Cold Calling Specialist,TechBiz Global,1.0,100000,1,0,0,0
Project Manager,INDG,3.0,100000,1,0,0,0
IT Consultant,Med-Metrix,3.0,100000,1,0,0,0
Junior Payments Monitoring Specialist,Growe,1.0,100000,1,0,0,0
"Senior Consultant, Back Office",Ridgeline,4.0,128000,1,0,0,1
Sales Manager - English & Spanish Speaking,TechBiz Global,3.0,100000,1,0,0,0
Client Service Director / Client Partner Digital Solutions (m/f/x),Virtual Identity,6.0,100000,1,0,0,0
Junior Java / Mulesoft Developer,Leadex Systems,1.0,100000,1,1,0,0
Full Stack Developer (Backend),RevenueBase Inc,4.0,100000,1,1,0,1
Product Solutions Owner - Commercial Services,RegScale,10.0,27001,1,0,0,0
Auto National Sales Manager,Fifth Third Bank,5.0,155100,1,0,0,1
Staff Security Engineer,Mozilla,25.0,20000,1,1,1,1
Nocturnal Nurse Practitioner,Cadence,5.0,140000,1,0,0,1
Fixed Income Sales Director,Fifth Third Bank,10.0,0,1,0,0,1
AI Inference Engineer QVAC (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
"Senior Product Analyst, B2C Credit",Tabby,4.0,40000,1,1,0,0
Certified Pharmacy Technician - Outreach Team,"ExactCare Pharmacy, LLC",18.0,100000,1,0,0,0
"Senior Analyst, Reporting & Analytics",Evergreen Nephrology,3.0,75000,1,1,0,1
Contractor - Career Technical Education Instructional Designer,ACCEL Schools,2.0,65000,1,0,0,1
Video Production & Editing Experts,G2i,3.0,100000,1,0,0,0
"Director, Construction & Project Management",Blue Stream Fiber,10.0,100000,1,0,0,0
Patient Contact Center Lead - CPAR REQUIRED - Mon - Fri 10:00am - 6:30pm - Remot,Northeast Georgia Health System,3.0,100000,1,0,0,1
"Intern, Wildlife Protection",Humane World for Animals: Apply,1.0,100000,1,0,0,1
SPIRIT Co-Developer,Drexel University,3.0,100000,1,0,0,0
"Engineering Lead, Systems Operations",Chess.com,5.0,100000,1,1,0,1
Engineering Director,Mob Entertainment,4.0,100000,1,0,0,0
Director of AI Automation,Interdependence Public Relations,10.0,100000,1,0,0,0
Senior QA Automation Test Engineer,Centene Corporation,6.0,87000,1,1,0,1
"Motion Designer - Freelance, Remote",Magic,5.0,100000,1,0,0,0
Senior Product Manager - Enterprise Reporting Products,AXS,4.0,90149,1,0,0,1
Contracts Manager (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
Senior AI Engineer,vidIQ,6.0,100000,1,1,0,1
People Operations Specialist,alx_africa,4.0,205000,1,0,0,0
Game Development Experts,G2i,5.0,100000,1,0,0,0
Senior Portfolio Lead,eClinical Solutions,10.0,115000,1,0,0,0
Business Analyst,Porta,5.0,100000,1,0,0,0
Head of Channel,UpGuard,3.0,100000,1,1,0,1
Product Engineer (100% remote Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
Telecom Account Executive,Canonical,5.0,200000,1,1,0,0
Partnership Manager,TechBiz Global,5.0,100000,1,0,0,0
NetCredit Loan Processing Representative,Enova,1.0,100000,1,1,0,0
Senior Data Engineer,RxSense,8.0,140000,1,1,0,1
Medical Research & Imaging Experts,G2i,3.0,100000,1,0,0,0
Senior Software Engineer – Advisory Suite,Alpaca,5.0,100000,1,1,0,0
Research Operations Program Manager,Blueprint,2.0,100000,1,0,0,0
3D Modeling & Animation Experts,G2i,3.0,100000,1,0,0,0
Lead Fullstack Developer,Teravision Technologies,20.0,100000,1,1,0,1
Staff Engineer – React + Node.js – Financial Systems – 100% - Remote,Hostaway,8.0,100000,1,0,0,0
"Senior Claim Advisor, Bodily Injury",allstate-plumbing,90.0,67200,1,0,0,1
"International Benefits Specialist, APAC","Justworks, Inc.",4.0,100000,1,0,0,1
"Manager - Epic Revenue Cycle Applications, New Clinics/Hospitals",SSM Health,5.0,40000,1,0,0,0
"(Part-time) Senior Zendesk AI, Automation & Execution Lead",N-iX,5.0,100000,1,1,0,0
"Manager, Ethics & Compliance",Centene Corporation,3.0,87700,1,0,0,1
Oracle ERP/Fusion Technical,TechBiz Global,5.0,100000,1,0,0,0
Senior Machine Learning Engineer - Esports (m/f/x),GRID,5.0,100000,1,1,0,0
Demand Generation Manager,RegScale,7.0,100000,1,0,0,0
"Senior Backend Engineer (Ruby and/or Go), Tenant Scale; Cells Infrastructure",GitLab,5.0,100000,1,0,0,0
Machine Learning Engineer - Document Intelligence & Applied GenAI,PandaDoc,5.0,67000,1,1,0,0
V105- Virtual Legal Office Support Associate,Job Duck,3.0,100000,1,0,0,0
Prescription Acquisition Specialist,"ExactCare Pharmacy, LLC",18.0,100000,1,0,0,0
Compiler Engineer - (Asia / Europe Time Zone),Goodnotes,2.0,100000,1,0,0,0
Data Analysis & Economics Experts,G2i,5.0,100000,1,0,0,0
CRM Specialist -  (12 months Fixed Term Contract – Renewable / Convertible),Goodnotes,3.0,100000,1,0,0,0
Pessoa Desenvolvedora SR,Linx,5.0,100000,1,0,0,0
Communications Manager,Evergreen Nephrology,5.0,115000,1,0,0,1
Solution Architect,Acxiom,5.0,100000,1,0,0,1
Adjunct Faculty - Graduate Nursing,South University,3.0,100000,1,0,0,0
Lead Instructor: Data Center Technician (Data Center Technician 8),Correlation One,5.0,100000,1,1,1,1
Collections Agent,Above Lending,2.0,100000,1,1,0,0
Senior Back End (Node.js) Engineer (with AI Voice Agent experience),Valor Software,5.0,100000,1,1,1,0
"AI Product Operations Specialist - Freelance, Remote",Magic,3.0,100000,1,0,0,0
Coder Senior - DRG coding,Geisinger,7.0,100000,1,0,0,0
CAD Professional - AI Training,G2i,3.0,100000,1,0,0,0
CG Supervisor,RenderThat GmbH,5.0,100000,1,0,0,0
Senior Backend Developer,Remote,5.0,100000,1,1,0,1
Pre - Sales / Solution Consultant,HeadSpin,2.0,100000,1,1,0,0
CAD & Engineering Design Experts,G2i,3.0,100000,1,0,0,0
Vibe Coder Product Developer,Agencyhires,3.0,100000,1,0,0,0
AI Product Manager (100% Remote),Tether Operations Limited,7.0,100000,1,0,0,1
Senior Java Engineer,N-iX,5.0,100000,1,1,0,1
ITSC Security Analyst,Judi Health,3.0,27001,1,0,0,1
Engineering Manager,Arco Educação,3.0,100000,1,1,0,0
Head of Developer Experience,Galaxy,10.0,100000,1,1,0,1
HR AI & Automation Operations Lead,Remote,3.0,100000,1,0,0,0
MOBILE DEVELOPER - iOS,XKTalent Inc. - Rimutee,5.0,100000,1,0,0,0
EMR Analyst,Rochester Regional Health,3.0,62400,1,0,0,0
Business Analyst,Make,3.0,100000,1,0,0,0
Head of Pre-match & Planning - Esports Trading (m/f/x),GRID,5.0,100000,1,0,0,0
Underwriting Assistant,Convelo Insurance Group,1.0,100000,1,0,0,1
AI Product Data Manager,Upstage,3.0,100000,1,1,0,0
Regional Builder Manager,Fifth Third Bank,3.0,87725,1,0,0,1
Consolidation and Financial Reporting Manager,Mozilla,25.0,20000,1,1,1,1
ESL Methodologist,Novakid School,4.0,100000,1,1,0,0
"Senior Director, Payment Integrity - Regulatory Oversight",Centene Corporation,10.0,148000,1,0,0,1
Engineering Team Leader,Remote,5.0,75450,1,0,0,0
Salesforce Training Production Analyst,General Dynamics Information Technology,5.0,83300,1,0,0,0
Senior Systems Architect,Altais Health Solutions,4.0,129000,1,0,0,1
"Full Time - Therapist, Licensed Clinical Social Worker - LCSW",Rivia Mind,5.0,70000,1,0,0,1
Senior Games Developer,RAW Group,13.0,27001,1,1,0,0
Salesforce Product Manager,Strata Information Group,3.0,100000,1,0,0,0
Network Engineer II,Astreya,2.0,72960,1,0,0,0
HIM Associate II,R1 RCM,2.0,100000,1,0,0,1
Senior Cloud Infrastructure Engineer (Working hours aligned to UTC+2),CoverGo,5.0,100000,1,1,0,1
Bilingual Customer Service Representative,Beyond Finance,1.0,100000,1,1,0,0
Senior Software Engineer - Payments & Treasury,Alpaca,3.0,20022,1,1,0,0
Customer Success Manager (Adobe Practice),Acxiom,2.0,100000,1,0,0,1
"Vice President, Product Marketing",NAVEX,15.0,200000,1,0,0,0
Contract Manager,Comcast,5.0,71194,1,1,0,1
Data Quality Analyst,EDO,1.0,50000,1,0,0,0
Senior Program Manager,TechBiz Global,5.0,100000,1,0,0,0
Security Engineer,VerSprite,3.0,100000,1,1,0,1
Teaching Assistant: Data Center Technician (Data Center Technician 8),Correlation One,1.0,100000,1,1,1,1
Licensed Insurance Retention Agent - Remote,AAA,4.0,100000,1,0,0,0
Customer Support Representative (Mailtrap.io),Railsware,5.0,100000,1,0,0,0
Senior Account Executive - Mid-Market (Hunter),NAVEX,4.0,85000,1,0,0,0
Staff Data Analyst,Honor,5.0,100000,1,1,0,0
Tax Manager (Direct Tax),Remote,5.0,37350,1,0,0,1
"Senior Account Executive, New Business",Interdependence Public Relations,5.0,300000,1,0,0,0
QA Team Lead,GR8 Tech,6.0,100000,1,0,0,0
Accounting Risk and Policy Sr. Manager,Fifth Third Bank,7.0,96500,1,0,0,1
Senior Client Technical Support Engineer,Array,2.0,70000,1,0,0,0
"Sales Development Representative, Catholic",Pushpay,1.0,10000,1,1,0,0
Senior AWS Cloud Engineer,Revolgy,5.0,100000,1,1,0,1
Remote Health Plan Request Bench Release of Information Specialist II,Verisma,3.0,100000,1,0,0,0
Senior Principal Database Administrator,ASRC Federal,10.0,14000,1,0,0,0
Staff UX Researcher - MetaMask,Consensys,7.0,146000,1,0,0,0
"Supervisor, Inside Sales",SanMar,4.0,100000,1,0,0,1
Program Manager,Arkatechture,3.0,100000,1,0,0,1
Fullstack Software Engineer - Catering,Olo,3.0,100000,1,1,0,1
Agentic Software Development SME,Correlation One,5.0,100000,1,1,1,1
Kotlin Coding Specialist - AI Trainer,Invisible Technologies,5.0,100000,1,0,0,0
Sr. Software Architect,AXS,5.0,138600,1,0,0,1
Senior Frontend Developer (100% remote),Tether Operations Limited,5.0,100000,1,0,0,0
Digital Strategist (Sales) - Open for Expats and Locals,Appetiser Apps,5.0,100000,1,0,0,0
Command Center - IT Operations Analyst,Corpay,2.0,800000,1,0,0,0
"Senior Account Executive, SEO Sales",Interdependence Public Relations,5.0,100000,1,0,0,0
"Marketing Analyst (Contract, Remote)",INFUSE,3.0,100000,1,0,0,1
"Operations & Project Coordinator (INFUSE Academy) (Remote, Contract)",INFUSE,3.0,100000,1,0,0,1
Marketing Project Manager (100% remote Worldwide),Tether Operations Limited,4.0,100000,1,0,0,0
Sr. Food Safety Admin,Buyers Edge Platform,4.0,22000,1,0,0,1
"Director, Global Marketing, Oncology",AngioDynamics,10.0,100000,1,0,0,0
Product Support Technician- Performance and Health,Catapult Sports,1.0,37970,1,0,0,0
"Director, Revenue Cycle Management- Remote",Med-Metrix,10.0,100000,1,0,0,1
Sr Claims Analyst - LHB,Workday,3.0,100000,1,0,0,1
"Senior Backend Developer - Node.js (Fully Remote, Worldwide)",Bitfinex,5.0,100000,1,0,0,1
Project Assistant - WIDA Assessment Research,University of Wisconsin-Madison,1.0,35636,1,0,0,0
Senior Fullstack Engineer for Brandon,N-iX,4.0,100000,1,1,0,1
Recruiter,TechBiz Global,3.0,100000,1,0,0,0
Talent Acquisition Specialist,TechBiz Global,3.0,100000,1,0,0,0
Growth Director,Index.dev,3.0,100000,1,0,0,0
V105- Legal Services Coordinator,Job Duck,1.0,100000,1,0,0,0
Contract Legal Counsel,Eqvilent,2.0,100000,1,0,0,1
Inbound Insurance Sales Consultant,Mutual Of Omaha,3.0,54000,1,0,0,0
Principal Cloud Security Engineer  (Remote - Work from Anywhere),Xapo,5.0,100000,1,1,0,1
Coder - Medical Coding,Geisinger,1.0,100000,1,0,0,0
QA Lead - (100% remote - Worldwide),Tether Operations Limited,5.0,100000,1,1,0,1
Freelance Web and WordPress developer,TechBiz Global,3.0,100000,1,0,0,0
Qualitative Research Lead,Civic Nation,1.0,100000,1,0,0,0
Customer Service Representative,Beyond Finance,1.0,100000,1,1,0,0
Applied AI Engineer - Agent GYM,Upstage,3.0,100000,1,1,0,1
Senior Fullstack Engineer,Tether Operations Limited,5.0,100000,1,0,0,0
Small Business Ownership – Freelance AI Trainer Project,Invisible Technologies,5.0,100000,1,0,0,0
Senior Fullstack Developer CosmicAC (100% remote - Worldwide),Tether Operations Limited,5.0,100000,1,0,0,0
Finance Systems Data Analyst,Remote,5.0,32700,1,1,0,0
Emailing Manager,Index.dev,2.0,100000,1,0,0,0
Product Support Specialist,Fullsteam,3.0,38784,1,0,0,0
Senior Backend Engineer (R&D),Moniepoint,5.0,100000,1,0,0,0
"Senior Manager, Financial Planning - FP&A/Medicare",Centene Corporation,6.0,107700,1,0,0,1
Liability Adjuster,Sedgwick,4.0,33000,1,0,0,1
IT Business Operations Analyst,Advocate Aurora Health,3.0,12266,1,0,0,0
Technical Support Engineer II,Verisma,4.0,100000,1,0,0,0
NetCredit Customer Service Representative,Enova,1.0,100000,1,1,0,0
Senior Financial Analyst- Contract,Impiricus,5.0,800000,1,0,0,1
"EMR Analyst, Senior",Rochester Regional Health,5.0,76000,1,0,0,0
Design & Digital Art Experts,G2i,3.0,100000,1,0,0,0
Payroll Assistant,TechBiz Global,1.0,100000,1,0,0,1
"Director, Productivity & Resource Utilization",Verisma,2.0,100000,1,0,0,0
Registered Nurse RN - Clinical Documentation Specialist - CDIP or CCDS REQUIRED,"Northeast Georgia Medical Center, Inc.",5.0,100000,1,0,0,0
"Solution Architect, AI & Automation",Premera Blue Cross,3.0,118900,1,1,0,0
Represented Bodily Injury Adjuster - CST/MST,allstate-plumbing,90.0,52800,1,0,0,1
Forward Deployment Engineer,Typeface,5.0,135000,1,0,0,1
